"g_id","g_link"
"3400","https://store.steampowered.com/app/3400/Hammer_Heads_Deluxe/?snr=1_241_4_casual_104_581"
"3483","https://store.steampowered.com/app/3483/Peggle_Extreme/?snr=1_241_4_casual_104_120"
"4100","https://store.steampowered.com/app/4100/Poker_Superstars_II/?snr=1_241_4_casual_104_520"
"4900","https://store.steampowered.com/app/4900/Zen_of_Sudoku/?snr=1_241_4_casual_104_321"
"8400","https://store.steampowered.com/app/8400/Geometry_Wars_Retro_Evolved/?snr=1_241_4_casual_104_255"
"10120","https://store.steampowered.com/app/10120/Aces_of_the_Galaxy/?snr=1_241_4_casual_104_431"
"12540","https://store.steampowered.com/app/12540/Mahjongg_Investigations_Under_Suspicion/?snr=1_241_4_casual_104_285"
"13000","https://store.steampowered.com/app/13000/Ninja_Reflex_Steamworks_Edition/?snr=1_241_4_casual_104_506"
"18408","https://store.steampowered.com/app/18408/Crazy_Machines_2_Time_Travel_AddOn/?snr=1_241_4_casual_104_1637"
"19320","https://store.steampowered.com/app/19320/Space_Ark/?snr=1_241_4_casual_104_1573"
"20200","https://store.steampowered.com/app/20200/Galactic_Bowling/?snr=1_241_4_casual_104_568"
"21600","https://store.steampowered.com/app/21600/Age_of_Booty/?snr=1_241_4_casual_104_936"
"21640","https://store.steampowered.com/app/21640/Flock/?snr=1_241_4_casual_104_208"
"31500","https://store.steampowered.com/app/31500/COIL/?snr=1_241_4_casual_104_436"
"32000","https://store.steampowered.com/app/32000/Raycatcher/?snr=1_241_4_casual_104_1155"
"32900","https://store.steampowered.com/app/32900/Restaurant_Empire_II/?snr=1_241_4_casual_104_282"
"33790","https://store.steampowered.com/app/33790/Elizabeth_Find_MD__Diagnosis_Mystery__Season_2/?snr=1_241_4_casual_104_1003"
"35480","https://store.steampowered.com/app/35480/Dwarfs/?snr=1_241_4_casual_104_213"
"35800","https://store.steampowered.com/app/35800/BRAINPIPE_A_Plunge_to_Unhumanity/?snr=1_241_4_casual_104_290"
"36100","https://store.steampowered.com/app/36100/Tradewinds_Classics/?snr=1_241_4_casual_104_106"
"36130","https://store.steampowered.com/app/36130/Tradewinds_Caravans__Odyssey_Pack/?snr=1_241_4_casual_104_1283"
"36150","https://store.steampowered.com/app/36150/Westward_Collection/?snr=1_241_4_casual_104_127"
"36180","https://store.steampowered.com/app/36180/Cake_Mania_Collection/?snr=1_241_4_casual_104_133"
"36210","https://store.steampowered.com/app/36210/Monster_Mash/?snr=1_241_4_casual_104_400"
"36240","https://store.steampowered.com/app/36240/Kuros/?snr=1_241_4_casual_104_1010"
"36300","https://store.steampowered.com/app/36300/Cake_Mania_Main_Street/?snr=1_241_4_casual_104_297"
"36310","https://store.steampowered.com/app/36310/Westward_IV_All_Aboard/?snr=1_241_4_casual_104_556"
"36320","https://store.steampowered.com/app/36320/Iron_Roses/?snr=1_241_4_casual_104_1556"
"37210","https://store.steampowered.com/app/37210/Chocolatier_Decadence_by_Design/?snr=1_241_4_casual_104_681"
"37220","https://store.steampowered.com/app/37220/Cooking_Dash/?snr=1_241_4_casual_104_665"
"37240","https://store.steampowered.com/app/37240/Diner_Dash_Hometown_Hero/?snr=1_241_4_casual_104_1210"
"37300","https://store.steampowered.com/app/37300/DinerTown_Tycoon/?snr=1_241_4_casual_104_619"
"37330","https://store.steampowered.com/app/37330/Nightshift_Legacy_The_Jaguars_Eye/?snr=1_241_4_casual_104_1070"
"37370","https://store.steampowered.com/app/37370/TriJinx_A_Kristine_Kross_Mystery/?snr=1_241_4_casual_104_1508"
"37390","https://store.steampowered.com/app/37390/Gemini_Lost/?snr=1_241_4_casual_104_531"
"37500","https://store.steampowered.com/app/37500/Magnetis/?snr=1_241_4_casual_104_479"
"38920","https://store.steampowered.com/app/38920/Rhythm_Zone_Mesh_Visualizer_DLC/?snr=1_241_4_casual_104_1637"
"38921","https://store.steampowered.com/app/38921/Rhythm_Zone_Revolution_Visualizer_DLC/?snr=1_241_4_casual_104_1637"
"38922","https://store.steampowered.com/app/38922/Rhythm_Zone__Deep_Ocean_Visualizer/?snr=1_241_4_casual_104_1637"
"38923","https://store.steampowered.com/app/38923/Rhythm_Zone_Tornado_Visualizer_DLC/?snr=1_241_4_casual_104_1637"
"41300","https://store.steampowered.com/app/41300/Altitude/?snr=1_241_4_casual_104_700"
"46450","https://store.steampowered.com/app/46450/Grotesque_Tactics_Evil_Heroes/?snr=1_241_4_casual_104_680"
"46570","https://store.steampowered.com/app/46570/Grotesque_Tactics_2__Dungeons_and_Donuts/?snr=1_241_4_casual_104_665"
"47890","https://store.steampowered.com/app/47890/The_Sims_3/?snr=1_241_4_casual_104_5"
"49000","https://store.steampowered.com/app/49000/Hotel_Dash_Suite_Success/?snr=1_241_4_casual_104_430"
"49604","https://store.steampowered.com/app/49604/Beat_Hazard_Ultra/?snr=1_241_4_casual_104_161"
"57800","https://store.steampowered.com/app/57800/Doc_Clock_The_Toasted_Sandwich_of_Time/?snr=1_241_4_casual_104_895"
"58400","https://store.steampowered.com/app/58400/Turba/?snr=1_241_4_casual_104_281"
"61100","https://store.steampowered.com/app/61100/Lucid/?snr=1_241_4_casual_104_392"
"63003","https://store.steampowered.com/app/63003/HOARD_Dynamite_Roll/?snr=1_241_4_casual_104_1542"
"63004","https://store.steampowered.com/app/63004/HOARD_FlameBroiled_SANDwich/?snr=1_241_4_casual_104_1554"
"65218","https://store.steampowered.com/app/65218/Train_Simulator_Portsmouth_Direct_Line_Route_AddOn/?snr=1_241_4_casual_104_623"
"65233","https://store.steampowered.com/app/65233/Train_Simulator_Horseshoe_Curve_Route_AddOn/?snr=1_241_4_casual_104_677"
"65243","https://store.steampowered.com/app/65243/Train_Simulator_Ohio_Steel_2_Route_AddOn/?snr=1_241_4_casual_104_616"
"72200","https://store.steampowered.com/app/72200/Universe_Sandbox_Legacy/?snr=1_241_4_casual_104_655"
"80202","https://store.steampowered.com/app/80202/Fate_of_the_World_Denial/?snr=1_241_4_casual_104_1543"
"80204","https://store.steampowered.com/app/80204/Fate_of_the_World_Migration/?snr=1_241_4_casual_104_1516"
"80207","https://store.steampowered.com/app/80207/Fate_of_the_World_Extras_Pack/?snr=1_241_4_casual_104_1570"
"90400","https://store.steampowered.com/app/90400/Blue_Toad_Murder_Files_The_Mysteries_of_Little_Riddle/?snr=1_241_4_casual_104_389"
"91618","https://store.steampowered.com/app/91618/Sanctum_Map_Pack_2/?snr=1_241_4_casual_104_1149"
"92803","https://store.steampowered.com/app/92803/SpaceChem_63_Corvi/?snr=1_241_4_casual_104_444"
"94303","https://store.steampowered.com/app/94303/The_Dream_Machine_Chapter_3/?snr=1_241_4_casual_104_99"
"94304","https://store.steampowered.com/app/94304/The_Dream_Machine_Chapter_4/?snr=1_241_4_casual_104_712"
"98600","https://store.steampowered.com/app/98600/Demolition_Inc/?snr=1_241_4_casual_104_508"
"98609","https://store.steampowered.com/app/98609/Demolition_Inc__Level__Weapon_DLC/?snr=1_241_4_casual_104_1562"
